Longitude,Latitude
-83.71705,34.66467
-84.82338,33.94979
-85.10207,33.81871
-83.31311,34.8804
-84.508,33.37111
-81.78378,32.5754
-94.22206,42.72063
-93.22192,42.73854
-91.68192,42.28422
-94.045,41.461
-90.66615,42.4104
-91.74585,41.47445
-90.76557,42.55997
-93.92304,42.03477
-116.8368,46.8102
-111.7899,43.41005
-114.2634,42.21834
-115.586,46.94
-115.8714,44.28265
-112.2873,44.41131
-116.99,48.1964
-116.923,46.97822
-116.0542,44.95277
-116.6339,48.45359
-116.0518,47.02242
-116.1155,44.66862
-112.9954,44.0555
-116.2617,47.61893
-90.16171,38.92241
-88.562,41.3368
-88.562,41.3368
-87.47077,40.34057
-89.54485,38.4763
-90.459,40.316
-89.85,42.21
-88.867,39.781
-89.582,38.946
-90.9009,40.9452
-90.64,39.607
-89.341,38.567
-89.48787,39.26776
-90.1451,38.9951
-88.724,40.19732
-89.73378,40.82944
-90.24173,39.57463
-90.18651,39.6548
-90.17564,39.53747
-90.0055,40.5658
-89.3469,39.5075
-87.83285,41.84136
-89.3469,39.5075
-88.53889,41.33018
-88.60814,41.29663
-88.38197,37.60075
-90.40184,39.02341
-88.71103,41.42396
-89.41959,40.14471
-88.706,41.4209
-87.68468,38.71682
-88.29926,42.18476
-88.4586,41.61575
-88.99181,38.1038
-89.36896,37.18404
-89.48784,37.71917
-90.79664,40.45273
-87.79079,38.37945
-87.75156,41.53346
-89.48784,37.71917
-89.60034,40.67577
-90.95499,39.91682
-87.60593,41.40762
-87.8572,38.354
-90.928,40.9119
-89.80784,41.72264
-90.16382,41.12409
-88.92,41.3224
-90.4429,40.9474
-88.70795,39.50655
-90.3832,40.625
-88.30026,42.1838
-88.60679,41.29601
-89.23383,37.85126
-89.30203,37.4351
-89.86021,39.4383
-89.36241,37.56937
-89.56226,39.75318
-89.36241,37.56937
-90.15218,40.06831
-85.7037,41.3382
-85.61,39.3579
-86.11,39.38
-86.22125,39.2065
-87.13843,37.83837
-86.79333,38.63472
-86.33011,39.24841
-97.3374,37.0581
-96.44296,38.62563
-97.34005,39.7273
-98.42924,37.56279
-95.44415,39.2305
-97.1953,37.3444
-97.4572,37.40504
-97.41755,38.19744
-99.26195,39.1062
-94.54,39.8595
-98.2833,39.30595
-94.91451,39.4045
-97.85428,37.56215
-82.7989,38.53187
-84.33998,36.66257
-83.81139,37.82708
-87.89472,36.75139
-83.95846,37.0787
-87.344,37.6095
-83.89224,37.49582
-83.46259,38.05703
-86.45915,36.68937
-87.01657,37.64966
-84.50035,37.55156
-82.5183,37.47975
-86.11702,37.96027
-84.79574,39.08002
-84.90234,37.97699
-87.93167,36.8216
-82.69125,38.06181
-83.41507,38.2592
-83.42429,36.83193
-83.56467,37.00633
-86.93743,37.65522
-86.05289,37.51867
